Month,Current_Month,Curent_Month_YOY,Current_Month_Comparattive,Total
2021年12月份,-361,3.99%,-568.50%,9129
2021年11月份,-54,70.65%,-141.50%,9490
2021年10月份,130,-45.38%,912.50%,9544
2021年09月份,-16,52.94%,-14.29%,9414
2021年08月份,-14,-107.30%,51.72%,9430
2021年07月份,-29,-115.10%,-128.40%,9444
2021年06月份,102,-33.77%,-26.62%,9473
2021年05月份,139,-12.03%,113.80%,9371
2021年04月份,65,-68.60%,261.10%,9232
2021年03月份,18,154.50%,-33.33%,9167
2021年02月份,27,-86.43%,-99.70%,9149
2020年12月份,-376,-388.30%,-104.30%,8672
2020年11月份,-184,-360.00%,-177.30%,9048
2020年10月份,238,2264%,800.00%,9232
2020年09月份,-34,35.85%,-117.60%,8994
2020年08月份,193,1479%,0.52%,9028
2020年07月份,192,256.10%,24.68%,8835
2020年06月份,154,294.90%,-2.53%,8643
2020年05月份,158,154.80%,-23.67%,8489
2020年04月份,207,200.50%,727.30%,8331
2020年03月份,-33,-153.20%,-116.60%,8124
2020年02月份,199,729.20%,-97.50%,8157
2019年12月份,-77,30.00%,-92.50%,7869
2019年11月份,-40,77.40%,-263.60%,7946
2019年10月份,-11,-123.90%,79.25%,7986
2019年09月份,-53,69.01%,-278.60%,7997
2019年08月份,-14,77.42%,88.62%,8050
2019年07月份,-123,3.15%,-55.70%,8064
2019年06月份,-79,47.68%,-227.40%,8187
2019年05月份,62,237.80%,130.10%,8266
2019年04月份,-206,-602.40%,-432.30%,8204
2019年03月份,62,127.80%,158.30%,8410
2019年02月份,24,-68.00%,-99.71%,8348
2018年12月份,-110,-334.00%,37.85%,7948
2018年11月份,-177,-270.20%,-484.80%,8058
2018年10月份,46,-29.23%,126.90%,8235
2018年09月份,-171,-4.27%,-175.80%,8189
2018年08月份,-62,-19.23%,51.18%,8360
2018年07月份,-127,-344.20%,15.89%,8422
2018年06月份,-151,-219.80%,-235.60%,8549
2018年05月份,-45,59.82%,-209.80%,8700
2018年04月份,41,174.50%,118.40%,8745
2018年03月份,-223,-443.10%,-397.30%,8704
2018年02月份,75,-62.31%,-99.15%,8927
2017年12月份,47,128.30%,-54.81%,8379
2017年11月份,104,420.00%,60.00%,8332
2017年10月份,65,258.50%,139.60%,8228
2017年09月份,-164,-215.40%,-215.40%,8163
2017年08月份,-52,-117.40%,-200.00%,8327
2017年07月份,52,200.00%,-58.73%,8379
2017年06月份,126,152.00%,212.50%,8327
2017年05月份,-112,37.78%,-103.60%,8201
2017年04月份,-55,48.60%,-184.60%,8313
2017年03月份,65,181.30%,-67.34%,8368
2017年02月份,199,397.00%,-97.54%,8303
2016年12月份,-166,-59.84%,-930.00%,7858
2016年11月份,20,107.60%,148.80%,8024
2016年10月份,-41,76.37%,21.15%,8004
2016年09月份,-52,89.70%,-117.40%,8045
2016年08月份,298,1561%,673.10%,8097
2016年07月份,-52,-133.00%,-204.00%,7799
2016年06月份,50,251.00%,127.80%,7851
2016年05月份,-180,-9055%,-68.22%,7801
2016年04月份,-107,-304.20%,-33.75%,7981
2016年03月份,-80,-174.10%,-19.40%,8088
2016年02月份,-67,13.80%,-100.80%,8168
2015年12月份,-103.85,-217.70%,60.43%,8303
2015年11月份,-262.42,-6018%,-51.25%,8406.85
2015年10月份,-173.5,-48.89%,65.64%,8669.27
2015年09月份,-504.99,-513.70%,-2376%,8842.77
2015年08月份,-20.39,37.65%,-112.90%,9347.77
2015年07月份,157.5,675.20%,1006%,9368.16
2015年06月份,14.24,-75.42%,824.40%,9210.65
2015年05月份,-1.97,92.52%,-103.80%,9196.41
2015年04月份,52.4,73.84%,-51.44%,9198.38
2015年03月份,107.9,-51.41%,238.80%,9145.98
2015年02月份,-77.72,-136.50%,-100.90%,9038.08
2014年12月份,88.22,6.06%,2157%,8350.69
2014年11月份,-4.29,-121.60%,96.32%,8262.48
2014年10月份,-116.53,-1448%,-41.60%,8266.77
2014年09月份,-82.29,-156.90%,-151.60%,8383.29
2014年08月份,-32.71,43.93%,-19.44%,8465.59
2014年07月份,-27.38,85.39%,-147.30%,8498.29
2014年06月份,57.94,168.50%,320.30%,8525.67
2014年05月份,-26.3,-145.70%,-187.20%,8467.74
2014年04月份,30.14,-77.77%,-86.43%,8494.03
2014年03月份,222.06,-7.68%,4.28%,8463.89
2014年02月份,212.94,16.48%,-97.35%,8241.83
2013年12月份,83.17,-64.79%,319.70%,7768.73
2013年11月份,19.82,-88.06%,129.30%,7685.56
2013年10月份,8.64,-95.77%,-94.02%,7665.74
2013年09月份,144.6,-48.03%,347.90%,7657.1
2013年08月份,-58.33,-149.80%,68.87%,7512.5
2013年07月份,-187.4,-1801%,-968.60%,7570.83
2013年06月份,21.58,-86.90%,-62.53%,7758.24
2013年05月份,57.59,20.27%,-57.54%,7736.66
2013年04月份,135.61,791.20%,-43.62%,7679.07
2013年03月份,240.54,59.78%,31.57%,7543.46
2013年02月份,182.82,118.90%,-97.43%,7302.92
2012年12月份,236.2,212.60%,42.34%,6835.57
2012年11月份,165.94,2059%,-18.80%,6599.37
2012年10月份,204.35,212.80%,-26.56%,6433.43
2012年09月份,278.23,73.28%,137.30%,6229.08
2012年08月份,117.24,100.00%,964.10%,5950.85
2012年07月份,11.02,729.30%,-93.31%,5833.61
2012年06月份,164.65,335.10%,243.90%,5822.59
2012年05月份,47.88,-63.06%,214.70%,5657.94
2012年04月份,15.22,-79.82%,-89.89%,5610.06
2012年03月份,150.55,72.77%,80.28%,5594.84
2012年02月份,83.51,58.32%,-98.44%,5444.29
2011年12月份,75.56,-53.93%,883.10%,5387.45
2011年11月份,7.69,-90.92%,-88.24%,5311.89
2011年10月份,65.34,11.02%,-59.31%,5304.21
2011年09月份,160.57,19.59%,173.90%,5238.87
2011年08月份,58.62,85.43%,4312%,5078.3
2011年07月份,1.33,102.40%,-96.49%,5019.68
2011年06月份,37.84,1306%,-70.80%,5018.35
2011年05月份,129.62,1031%,71.93%,4980.51
2011年04月份,75.39,45.68%,-13.48%,4850.89
2011年03月份,87.14,-10.21%,65.21%,4775.5
2011年02月份,52.74,-45.77%,-98.86%,4688.36
2010年12月份,164.01,399.00%,93.79%,4534.47
2010年11月份,84.63,-48.90%,43.80%,4370.46
2010年10月份,58.85,-63.87%,-56.17%,4285.83
2010年09月份,134.27,-24.11%,324.70%,4226.97
2010年08月份,31.61,-83.57%,156.20%,4092.71
2010年07月份,-56.27,-151.10%,-1693%,4061.09
2010年06月份,-3.14,-100.80%,77.46%,4117.36
2010年05月份,-13.92,-109.00%,-126.90%,4120.5
2010年04月份,51.75,-31.50%,-46.67%,4134.42
2010年03月份,97.04,127.70%,-0.23%,4082.67
2010年02月份,97.26,331.00%,-97.50%,3985.63
2009年12月份,32.87,170.00%,-80.15%,3794.82
2009年11月份,165.61,265.70%,1.67%,3761.95
2009年10月份,162.9,249.90%,-7.93%,3596.34
2009年09月份,176.93,804.90%,-8.05%,3433.44
2009年08月份,192.41,747.80%,74.77%,3256.51
2009年07月份,110.1,1834%,-70.41%,3064.1
2009年06月份,372.03,2554%,140.80%,2954
2009年05月份,154.47,414.20%,104.50%,2581.97
2009年04月份,75.54,253.80%,77.25%,2427.51
2009年03月份,42.62,-58.87%,201.20%,2351.96
2009年02月份,-42.1,-119.40%,-101.80%,2309.34
2008年12月份,-46.93,-623.80%,53.03%,2436.71
2008年11月份,-99.92,-241.30%,8.03%,2483.64
2008年10月份,-108.65,-277.90%,-332.90%,2583.56
2008年09月份,-25.1,-129.20%,15.49%,2692.21
2008年08月份,-29.7,-138.50%,-367.70%,2717.31
2008年07月份,-6.35,-115.20%,-145.30%,2747.01
2008年06月份,14.02,-84.35%,-53.33%,2753.36
2008年05月份,30.04,-13.15%,40.70%,2739.34
2008年04月份,21.35,39.82%,-79.40%,2709.3
2008年03月份,103.62,279.30%,-52.25%,2687.95
2008年02月份,217.02,754.70%,-90.83%,2584.33
