Announced_Date,Effective_Date,Benchmark_Deposit_Rate_BeforeAdj,Benchmark_Deposit_Rate_AfterAdj,Benchmark_Deposit_Rate_Ajd,Benchmark_Loan_Rate_BeforeAdj,Benchmark_Loan_Rate_AfterAdj,Benchmark_Loan_Rate_Ajd,Next_Day_SHIndex,Next_Day_SZIndex,
2015/10/23,2015/10/24,1.75%,1.50%,-0.25%,4.60%,4.35%,-0.25%,0.50%,0.73%,
2015/8/25,2015/8/26,2.00%,1.75%,-0.25%,4.85%,4.60%,-0.25%,-1.27%,-2.92%,
2015/6/27,2015/6/28,2.25%,2.00%,-0.25%,5.10%,4.85%,-0.25%,-3.34%,-5.78%,
2015/5/10,2015/5/11,2.50%,2.25%,-0.25%,5.35%,5.10%,-0.25%,3.04%,3.20%,
2015/2/28,2015/3/1,2.75%,2.50%,-0.25%,5.60%,5.35%,-0.25%,0.78%,1.07%,
2014/11/21,2014/11/22,3.00%,2.75%,-0.25%,6.00%,5.60%,-0.40%,1.85%,2.95%,
2012/7/5,2012/7/6,3.25%,3.00%,-0.25%,6.31%,6.00%,-0.31%,1.01%,2.95%,
2012/6/7,2012/6/8,3.50%,3.25%,-0.25%,6.56%,6.31%,-0.25%,-0.51%,-0.50%,
2011/7/6,2011/7/7,3.25%,3.50%,0.25%,6.31%,6.56%,0.25%,-0.58%,-0.26%,
2011/4/5,2011/4/6,3.00%,3.25%,0.25%,6.06%,6.31%,0.25%,1.14%,0.33%,
2011/2/8,2011/2/9,2.75%,3.00%,0.25%,5.81%,6.06%,0.25%,-0.89%,-1.53%,
2010/12/25,2010/12/26,2.50%,2.75%,0.25%,5.56%,5.81%,0.25%,-1.90%,-2.02%,
2010/10/19,2010/10/20,2.25%,2.50%,0.25%,5.31%,5.56%,0.25%,0.07%,1.23%,
2008/12/22,2008/12/23,2.52%,2.25%,-0.27%,5.58%,5.31%,-0.27%,-4.55%,-4.69%,
2008/11/26,2008/11/27,3.60%,2.52%,-1.08%,6.66%,5.58%,-1.08%,1.05%,2.30%,
2008/10/29,2008/10/30,3.87%,3.60%,-0.27%,6.93%,6.66%,-0.27%,2.55%,1.87%,
2008/10/8,2008/10/9,4.14%,3.87%,-0.27%,7.20%,6.93%,-0.27%,-0.84%,-2.40%,
2008/9/15,2008/9/16,4.14%,4.14%,-,7.47%,7.20%,-0.27%,-4.47%,-0.89%,
2007/12/20,2007/12/21,3.87%,4.14%,0.27%,7.29%,7.47%,0.18%,1.15%,1.10%,
2007/9/14,2007/9/15,3.60%,3.87%,0.27%,7.02%,7.29%,0.27%,2.06%,1.54%,
2007/8/21,2007/8/22,3.33%,3.60%,0.27%,6.84%,7.02%,0.18%,0.50%,2.80%,
2007/7/20,2007/7/21,3.06%,3.33%,0.27%,6.57%,6.84%,0.27%,3.81%,5.38%,
2007/5/18,2007/5/19,2.79%,3.06%,0.27%,6.39%,6.57%,0.18%,1.04%,1.40%,
2007/3/17,2007/3/18,2.52%,2.79%,0.27%,6.12%,6.39%,0.27%,2.87%,1.59%,
2006/8/18,2006/8/19,2.25%,2.52%,0.27%,5.85%,6.12%,0.27%,0.20%,0.20%,
2006/4/27,2006/4/28,2.50%,2.25%,-0.25%,5.56%,5.85%,0.29%,1.66%,0.16%,
2020年1月1日,2020年1月6日,13.00%,12.50%,-0.50%,11.00%,10.50%,-0.50%,1.15%,1.99%,
2019年9月6日,2019年9月16日,13.50%,13.00%,-0.50%,11.50%,11.00%,-0.50%,0.84%,1.82%,
2019年1月4日,2019年1月25日,14.00%,13.50%,-0.50%,12.00%,11.50%,-0.50%,0.72%,1.58%,
2019年1月4日,2019年1月15日,14.50%,14.00%,-0.50%,12.50%,12.00%,-0.50%,0.72%,1.58%,
2018年10月7日,2018年10月15日,15.50%,14.50%,-1.00%,13.50%,12.50%,-1.00%,-3.72%,-4.05%,
2018年6月24日,2018年7月5日,16.00%,15.50%,-0.50%,14.00%,13.50%,-0.50%,-1.05%,-0.90%,
2018年4月17日,2018年4月25日,17.00%,16.00%,-1.00%,15.00%,14.00%,-1.00%,0.80%,0.92%,
2016年2月29日,2016年3月1日,17.50%,17.00%,-0.50%,15.50%,15.00%,-0.50%,1.68%,2.47%,