Data_Date,New_Investor_Acct,New_Investor_Comparative,New_Investor_YOY,Ending_Investors,Ending_Investors_A,Ending_Investors_B,Hushen_Total,Hushen_Avg,Shanghai_Securities_Composite_Index,Shanghai_index_Growth_Rate
2022年1月,132.4,-3.60%,-36.77%,19873.28,19813.1,239.35,83.86万亿,42.33万,3361.44,-7.65
2021年12月,137.4,2.71%,-15.29%,19740.85,19680.61,239.38,91.59万亿,46.54万,3639.78,2.13
2021年11月,133.8,36.38%,-12.42%,19603.47,19543.17,239.42,89.76万亿,45.93万,3563.89,0.47
2021年10月,98.07,-39.40%,-12.45%,19469.72,19409.36,239.47,86.73万亿,44.68万,3547.34,-0.58
2021年9月,161.8,-13.68%,4.99%,19371.65,19311.26,239.5,86.69万亿,44.89万,3568.17,0.68
2021年8月,187.5,16.51%,4.43%,19209.84,19149.37,239.53,86.73万亿,45.29万,3543.94,4.31
2021年7月,160.9,3.45%,-33.69%,19022.38,18961.31,239.57,83.04万亿,43.80万,3397.36,-5.4
2021年6月,155.5,10.13%,0.40%,18861.48,18800.31,239.58,86.37万亿,45.94万,3591.2,-0.67
2021年5月,141.2,-16.51%,16.32%,18705.97,18644.67,239.61,85.05万亿,45.62万,3615.48,4.89
2021年4月,169.1,-31.73%,3.11%,18564.75,18503.39,239.63,80.33万亿,43.41万,3446.86,0.14
2021年3月,247.7,53.93%,31.00%,18395.61,18334.14,239.67,78.37万亿,42.75万,3441.91,-1.91
2021年2月,160.9,-23.15%,79.74%,18147.87,18086.26,239.71,80.08万亿,44.28万,3509.08,0.75
2021年1月,209.4,29.13%,161.60%,17986.92,17925.22,239.7,80.16万亿,44.72万,3483.07,0.29
2020年12月,162.2,6.20%,100.40%,17777.49,17715.72,239.71,79.72万亿,45.00万,3473.07,2.4
2020年11月,152.7,36.34%,84.77%,17615.31,17553.45,239.72,76.95万亿,43.84万,3391.76,5.19
2020年10月,112,-27.33%,41.11%,17462.6,17400.3,239.78,73.58万亿,42.29万,3224.53,0.2
2020年9月,154.1,-14.14%,60.09%,17350.59,17288.19,239.8,72.17万亿,41.74万,3218.05,-5.23
2020年8月,179.5,-26.01%,82.02%,17196.46,17133.96,239.83,75.95万亿,44.33万,3395.68,2.59
2020年7月,242.6,56.64%,123.60%,17016.95,16954.33,239.82,73.82万亿,43.54万,3310.01,10.9
2020年6月,154.9,27.58%,46.71%,16774.32,16711.52,239.85,64.88万亿,38.82万,2984.67,4.64
2020年5月,121.4,-25.99%,5.34%,16619.42,16556.51,239.87,60.01万亿,36.25万,2852.35,-0.27
2020年4月,164,-13.26%,7.14%,16498,16435.02,239.87,59.40万亿,36.14万,2860.08,3.99
2020年3月,189.1,111.20%,-6.60%,16333.96,16270.85,239.9,56.29万亿,34.59万,2750.3,-4.51
2020年2月,89.54,11.83%,-10.15%,16144.84,16081.57,239.91,59.66万亿,37.10万,2880.3,-3.23
2020年1月,80.07,-1.06%,-21.78%,16055.3,15991.8,239.95,59.72万亿,37.34万,2976.53,-2.41
2019年12月,80.93,-2.08%,-5.17%,15975.24,15910.66,240.18,59.29万亿,37.27万,3050.12,6.2
2019年11月,82.65,4.12%,-21.26%,15894.31,15828.32,240.52,54.69万亿,34.55万,2871.98,-1.95
2019年10月,79.38,-17.55%,-12.61%,15811.65,15745.1,240.68,55.27万亿,35.10万,2929.06,0.82
2019年9月,96.28,-2.37%,5.81%,15732.27,15665.63,240.72,54.58万亿,34.84万,2905.19,0.66
2019年8月,98.62,-9.10%,-7.88%,15636,15569.26,240.78,53.97万亿,34.67万,2886.24,-1.58
2019年7月,108.5,2.76%,-1.21%,15537.38,15470.56,240.82,54.05万亿,34.94万,2932.51,-1.56
2019年6月,105.6,-8.40%,2.43%,15428.88,15361.9,240.95,53.63万亿,34.91万,2978.88,2.77
2019年5月,115.3,-24.72%,4.49%,15323.31,15256.18,240.99,52.30万亿,34.28万,2898.7,-5.84
2019年4月,153.1,-24.38%,58.02%,15208.05,15140.74,241.06,55.53万亿,36.67万,3078.34,-0.4
2019年3月,202.5,103.20%,29.97%,15054.94,14987.51,241.07,56.29万亿,37.56万,3090.76,5.09
2019年2月,99.65,-2.66%,34.23%,14852.46,14784.89,241.09,52.49万亿,35.50万,2940.95,13.79
2019年1月,102.4,19.96%,-16.65%,14752.81,14685.17,241.08,44.89万亿,30.57万,2584.57,3.64
2018年12月,85.34,-18.70%,-12.23%,14650.44,14582.73,241.1,43.49万亿,29.82万,2493.9,-3.64
2018年11月,105,15.57%,-13.97%,14565.1,14497.34,241.13,45.36万亿,31.29万,2588.19,-0.56
2018年10月,90.83,-0.18%,-5.85%,14460.13,14392.27,241.15,44.65万亿,31.03万,2602.78,-7.75
2018年9月,90.99,-15.01%,-31.43%,14369.3,14301.37,241.17,48.66万亿,34.03万,2821.35,3.53
2018年8月,107.1,-2.51%,-29.19%,14278.31,14210.33,241.2,47.57万亿,33.48万,2725.25,-5.25
2018年7月,109.8,6.54%,-9.50%,14171.25,14103.2,241.23,50.62万亿,35.89万,2876.4,1.02
2018年6月,103.1,-6.55%,-22.48%,14061.43,13993.23,241.26,50.42万亿,36.03万,2847.42,-8.01
2018年5月,110.3,13.85%,-11.38%,13958.35,13890.1,241.26,54.42万亿,39.18万,3095.47,0.43
2018年4月,96.89,-37.81%,-24.49%,13848.04,13779.69,241.26,54.25万亿,39.37万,3082.23,-2.73
2018年3月,155.8,109.90%,-33.25%,13751.15,13682.73,241.29,55.95万亿,40.89万,3168.9,-2.78
2018年2月,74.24,-39.55%,-51.00%,13595.36,13526.86,241.28,56.16万亿,41.52万,3259.41,-6.36
2018年1月,122.8,26.32%,28.43%,13521.12,13452.57,241.24,58.56万亿,43.53万,3480.83,5.25
2017年12月,97.23,-20.31%,-30.40%,13398.3,13329.66,241.22,56.71万亿,42.54万,3307.17,-0.3
2017年11月,122,26.47%,-30.20%,13301.07,13232.34,241.2,56.40万亿,42.62万,3317.19,-2.24
2017年10月,96.47,-27.30%,-26.37%,13179.06,13110.2,241.18,57.91万亿,44.17万,3393.34,1.33
2017年9月,132.7,-12.24%,-28.42%,13082.59,13013.63,241.17,56.93万亿,43.75万,3348.94,-0.35
2017年8月,151.2,24.60%,-31.24%,12949.89,12880.81,241.16,56.20万亿,43.63万,3360.81,2.68
2017年7月,121.4,-8.75%,-7.10%,12798.69,12729.47,241.16,54.22万亿,42.59万,3273.03,2.52
2017年6月,133,6.84%,-6.41%,12677.34,12608.05,241.15,53.43万亿,42.38万,3192.43,2.41
2017年5月,124.5,-3.00%,-12.43%,12544.36,12474.97,241.14,51.36万亿,41.17万,3117.18,-1.19
2017年4月,128.3,-45.02%,-17.28%,12419.89,12350.41,241.14,52.63万亿,42.62万,3154.66,-2.11
2017年3月,233.4,54.07%,1.83%,12291.57,12221.96,241.13,53.96万亿,44.15万,3222.51,-0.59
2017年2月,151.5,58.42%,31.21%,12058.16,11988.41,241.06,53.82万亿,44.89万,3241.73,2.61
2017年1月,95.63,-31.54%,-29.21%,11906.67,11836.82,240.91,51.72万亿,43.70万,3159.17,1.79
2016年12月,139.7,-20.09%,-1.44%,11811.04,11741.09,240.88,50.77万亿,43.24万,3103.64,-4.5
2016年11月,174.8,33.41%,18.76%,11671.35,11601.12,240.85,53.07万亿,45.74万,3250.03,4.82
2016年10月,131,-29.32%,23.12%,11496.55,11426.18,240.78,50.49万亿,44.19万,3100.49,3.19
2016年9月,185.4,-15.70%,71.14%,11365.54,11295.07,240.7,48.50万亿,42.94万,3004.7,-2.62
2016年8月,219.9,68.35%,60.69%,11180.16,11109.57,240.62,49.16万亿,44.25万,3085.49,3.56
2016年7月,130.6,-8.07%,-36.24%,10960.26,10889.54,240.58,46.65万亿,42.84万,2979.34,1.7
2016年6月,142.1,-0.04%,-69.39%,10829.64,10758.83,240.53,46.29万亿,43.03万,2929.61,0.45
2016年5月,142.1,-8.37%,-65.82%,10687.55,10616.63,240.5,44.86万亿,42.26万,2916.62,-0.74
2016年4月,155.1,-32.32%,-68.82%,10545.41,10474.36,240.47,44.79万亿,42.76万,2938.32,-2.18
2016年3月,229.2,98.52%,-,10390.29,10319.08,240.45,45.42万亿,44.01万,3003.92,11.75
2016年2月,115.5,-14.53%,-,10161.08,10089.3,240.51,39.70万亿,39.35万,2687.98,-1.81
2016年1月,135.1,-4.68%,-,10045.62,9973.69,240.42,40.38万亿,40.49万,2737.6,-22.65
2015年12月,141.7,-3.71%,-,9910.53,9838.2,240.2,53.13万亿,54.00万,3539.18,2.72
2015年11月,147.2,38.31%,-,9768.8,9694.16,239.89,50.36万亿,51.95万,3445.4,1.86
2015年10月,106.4,-1.75%,-,9621.61,9546.46,239.71,47.66万亿,49.93万,3382.56,10.8
2015年9月,108.3,-20.85%,-,9514.92,9439.7,239.58,41.95万亿,44.44万,3052.78,-4.78
2015年8月,136.9,-33.20%,-,9406.6,9331.3,239.43,43.80万亿,46.94万,3205.99,-12.49
2015年7月,204.9,-55.87%,-,9269.75,9194.35,239.22,50.48万亿,54.91万,3663.73,-14.34
2015年6月,464.2,11.63%,-,9064.88,8989.29,238.83,58.46万亿,65.03万,4277.22,-7.25
2015年5月,415.9,-16.41%,-,8600.66,8524.63,237.71,62.75万亿,73.61万,4611.74,3.83
2015年4月,497.5,-,-,8184.79,8108.3,235.92,56.35万亿,69.50万,4441.66,18.51
